question_text,option_a,option_b,option_c,option_d,correct_option
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,B
Which molecule carries genetic information?,Protein,Lipid,Carbohydrate,DNA,D
Which organelle is responsible for photosynthesis?,Mitochondria,Nucleus,Chloroplast,Ribosome,C
What is the basic unit of life?,Tissue,Organ,Cell,Organism,C
Which process produces energy in cells?,Photosynthesis,Respiration,Transpiration,Osmosis,B
What is the main component of the cell membrane?,Protein,Phospholipid,Carbohydrate,Nucleic acid,B
Which blood cells fight infection?,Red blood cells,White blood cells,Platelets,Plasma,B
What is the largest organ in the human body?,Heart,Skin,Liver,Brain,B
Which vitamin is produced in the skin by sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
What is the function of hemoglobin?,Transport oxygen,Clot blood,Produce hormones,Store fat,A
Which organ removes waste from the blood?,Heart,Lungs,Kidneys,Stomach,C
What is the genetic material in most organisms?,RNA,Protein,DNA,Enzyme,C
Which part of the plant absorbs water?,Leaf,Stem,Root,Flower,C
What is the process of water loss from leaves called?,Respiration,Transpiration,Photosynthesis,Osmosis,B
Which enzyme breaks down starch?,Lipase,Protease,Amylase,Lactase,C
What is the main function of the large intestine?,Absorb nutrients,Absorb water,Produce enzymes,Store bile,B
Which gas do plants absorb for photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,B
What is the scientific name for humans?,Homo erectus,Homo sapiens,Pan troglodytes,Gorilla gorilla,B
Which organ controls balance in the body?,Heart,Brain,Ear,Liver,C
What is the smallest bone in the human body?,Femur,Stapes,Ulna,Radius,B
