question_text,option_a,option_b,option_c,option_d,correct_option
Which organ pumps blood throughout the body?,Liver,Heart,Brain,Lung,B
What is the chemical symbol for water?,WO,H2O,HO2,OH2,B
Which part of the cell contains genetic material?,Cytoplasm,Cell membrane,Nucleus,Ribosome,C
What is the process by which plants make food?,Respiration,Photosynthesis,Transpiration,Fermentation,B
Which blood vessel carries blood away from the heart?,Vein,Artery,Capillary,Lymph vessel,B
What is the largest planet in our solar system?,Earth,Venus,Saturn,Jupiter,D
Which vitamin is essential for blood clotting?,Vitamin A,Vitamin K,Vitamin C,Vitamin D,B
What is the main gas found in the air we breathe?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C
Which organ helps in digestion by producing bile?,Pancreas,Stomach,Liver,Small intestine,C
What is the basic unit of heredity?,Chromosome,Gene,Cell,Nucleus,B
Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla,Thalamus,B
What is the boiling point of water at sea level (°C)?,50,100,150,200,B
Which mineral is important for healthy bones?,Iron,Calcium,Potassium,Sodium,B
What is the function of red blood cells?,Fight infection,Transport oxygen,Clot blood,Produce hormones,B
Which organ filters blood in the human body?,Liver,Heart,Kidney,Lung,C
What is the largest bone in the human body?,Femur,Tibia,Humerus,Radius,A
Which part of the eye detects light?,Cornea,Retina,Iris,Lens,B
What is the process of cell division called?,Meiosis,Photosynthesis,Mitosis,Osmosis,C
Which blood group is known as the universal donor?,A,B,AB,O,D
What is the main function of white blood cells?,Transport oxygen,Clot blood,Fight infection,Store fat,C
